no,kode,tgl,jam,nama_tr,jenis_tr,tipe_tr,alokasi_tr,nominal,officer,source
201,D0201,2025-01-13,13:19:39,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00123 ~ AB1335JH ~ 2411280255]",DEBET,BANK,-,877000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
202,K0202,2025-01-13,13:28:15,2PCS LAMPU 15WATT,KREDIT,CASH,BEBAN,70000,ADMIN2,POTENS LAMPU
203,K0203,2025-01-13,13:28:59,DXE-1004 & RELAY 12V ,KREDIT,CASH,BEBAN,120000,ADMIN2,PRABU MOTOR
204,K0204,2025-01-13,13:30:01,"PEMBAYARAN PO SPAREPART [PO-00027 ~ PO-00027/SPR/01/2025], Nota: PAYSPR/PO-00027/01/2025/0025",KREDIT,CASH,PEMBAYARAN PO,585000,ADMIN2,PEMBAYARAN PO SPAREPART
205,D0205,2025-01-13,15:04:42,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00126 ~ B2922SYQ ~ 2501132130]",DEBET,BANK,-,150000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
206,D0206,2025-01-13,17:20:04,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00127 ~ AB1419YD ~ 2501132131]",DEBET,BANK,-,1214000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
207,D0207,2025-01-14,13:07:23,"TRANSFER PEMBAYARAN SERVICE [WO-00129 ~ AB1290LY ~ 2501132129]",DEBET,BANK,-,692000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
208,K0208,2025-01-14,13:10:56,ACCU GSMF NS60L ,KREDIT,CASH,BEBAN,885000,ADMIN2,AGUNG MOTOR
209,K0209,2025-01-14,13:11:37,MAP BIOLA 15PCS,KREDIT,CASH,BEBAN,45000,ADMIN2,SAHUMPUN PHOTO COPY
210,K0210,2025-01-14,14:28:52,SOLASI & LEM G,KREDIT,CASH,BEBAN,35500,ADMIN2,EKA JAYA
211,K0211,2025-01-14,14:49:33,ONGKOS KIRIM AEGIS FILTER,KREDIT,CASH,BEBAN,40000,ADMIN2,HIRA EXPRESS
212,D0212,2025-01-14,16:42:21,"DP SERVICE #WO-00132 (Tgl. 14-01-2025)",DEBET,CASH,-,190000,ADMIN2,DP SERVICE
213,D0213,2025-01-14,16:42:31,"TRANSFER PEMBAYARAN SERVICE [WO-00132 ~ AD8168U ~ 2412212074]",DEBET,BANK,-,235000,ADMIN2,TRANSFER PEMBAYARAN SERVICE
214,K0214,2025-01-15,09:20:47,"PEMBAYARAN PO SPAREPART [PO-00028 ~ PO-00028/SPR/01/2025], Nota: PAYSPR/PO-00028/01/2025/0026",KREDIT,CASH,PEMBAYARAN PO,774600,ADMIN2,PEMBAYARAN PO SPAREPART
215,K0215,2025-01-15,09:24:39,"PEMBAYARAN PO SPAREPART [PO-00029 ~ PO-00029/SPR/01/2025], Nota: PAYSPR/PO-00029/01/2025/0027",KREDIT,CASH,PEMBAYARAN PO,245000,ADMIN2,PEMBAYARAN PO SPAREPART
216,D0216,2025-01-15,16:43:50,"PEMBAYARAN SERVICE (DEBIT CARD) [WO-00136 ~ AD1362YJ ~ 2501152137]",DEBET,BANK,-,1223000,ADMIN2,PEMBAYARAN SERVICE (DEBIT)
